"geo";"petrograph";"bl_min";"bl_avg";"bl_max"
24;"Sand, Kies, Schotter";23.000000000;50.5000000000000000;78.000000000
85;"Sand, Kies";5.0000000000;7.9285714285714286;13.000000000
503;"Ton, Sand, Kies; Braunkohle";13.000000000;44.0000000000000000;62.000000000
508;"Kies, Sand, Ton";5.0000000000;42.7500000000000000;115.00000000
545;"Kalk- und Mergelstein, Tonstein, Sandstein";23.000000000;37.6000000000000000;51.000000000
546;"Sand, Ton; gelegentlich Konglomerat";11.000000000;39.0000000000000000;87.000000000
579;"Mergelstein, Kalkstein, Dolomitstein, Kalksandstein";6.0000000000;15.0000000000000000;25.000000000
583;"Ton, Tonmergelstein, Kalksandstein, Mergelstein, oolithischer Kalkstein;Eisenerz-Flze";6.0000000000;25.6000000000000000;62.000000000
590;"Ton-, Sand-, Mergelstein";7.0000000000;43.8000000000000000;101.00000000
595;"Tonsteine mit dolomitischen und sandigen Einlagerungen";10.000000000;10.0000000000000000;10.000000000
596;"Sandstein - Tonstein - Wechsellagen mit dolomitischen Einlagerungen";5.0000000000;13.3846153846153846;38.000000000
597;"Tonstein mit Lagen von Steinmergel und Gips";5.0000000000;21.1578947368421053;86.000000000
602;"Kalkstein, Mergelstein, Dolomitstein, Tonstein";5.0000000000;37.9000000000000000;97.000000000
608;"Sandstein, Schluffstein, Tonstein";5.0000000000;11.0714285714285714;19.000000000
659;"Sandstein, Tonstein";5.0000000000;23.1764705882352941;98.000000000
660;"Schieferton, Sandstein, Konglomerat, Kohle, Porphyrbreccie, Tuff";17.000000000;51.0000000000000000;69.000000000
712;"Tonschiefer, Quarzit, Gerllquarzit";5.0000000000;15.0000000000000000;25.000000000
713;"";102.00000000;102.0000000000000000;102.00000000
715;"Phyllit";13.000000000;82.7666666666666667;298.00000000
720;"Phyllit, Kalkphyllit, Quarzit, Grauwacke";22.000000000;85.2222222222222222;137.00000000
721;"Glimmerschiefer";6.0000000000;57.5238095238095238;248.00000000
760;"Glimmerschiefer";10.000000000;75.2758620689655172;436.00000000
761;"Paragneis";9.0000000000;63.5806451612903226;337.00000000
762;"Orthogneis";57.000000000;72.0000000000000000;87.000000000
766;"Marmor (Kalk-, Dolomit-, Kalksilikatfels-)";60.000000000;60.0000000000000000;60.000000000
791;"Alkalibasalt, Basanit, Tephrit, Nephelinit, Tholeyitbasalt, Olivinbasalt, Andesit";15.000000000;58.6000000000000000;178.00000000
833;"Granit, Granodiorit";12.000000000;378.2631578947368421;1134.0000000
834;"Granit";14.000000000;152.8979591836734694;1037.0000000
838;"Diorit, Redwitzit";39.000000000;95.1666666666666667;219.00000000
842;"mikrogranitoides Ganggestein";13.000000000;13.0000000000000000;13.000000000
845;"Orthogneis: granitisch, granodioritisch";10.000000000;139.7142857142857143;344.00000000
858;"";22.000000000;40.6666666666666667;52.000000000
