"geo";"petrograph";"rl_eg_min";"rl_eg_avg";"rl_eg_max"
24;"Sand, Kies, Schotter";32.000000000;59.9090909090909091;118.00000000
85;"Sand, Kies";27.000000000;56.5909090909090909;90.000000000
503;"Ton, Sand, Kies; Braunkohle";22.000000000;52.2000000000000000;78.000000000
508;"Kies, Sand, Ton";19.000000000;88.1710526315789474;373.00000000
546;"Sand, Ton; gelegentlich Konglomerat";28.000000000;50.0000000000000000;85.000000000
583;"Ton, Tonmergelstein, Kalksandstein, Mergelstein, oolithischer Kalkstein;Eisenerz-Flze";14.000000000;61.4000000000000000;114.00000000
590;"Ton-, Sand-, Mergelstein";30.000000000;30.0000000000000000;30.000000000
596;"Sandstein - Tonstein - Wechsellagen mit dolomitischen Einlagerungen";14.000000000;56.9230769230769231;211.00000000
597;"Tonstein mit Lagen von Steinmergel und Gips";33.000000000;43.0000000000000000;53.000000000
602;"Kalkstein, Mergelstein, Dolomitstein, Tonstein";16.000000000;48.2666666666666667;150.00000000
608;"Sandstein, Schluffstein, Tonstein";16.000000000;57.5200000000000000;407.00000000
659;"Sandstein, Tonstein";8.0000000000;46.1212121212121212;219.00000000
660;"Schieferton, Sandstein, Konglomerat, Kohle, Porphyrbreccie, Tuff";22.000000000;51.8461538461538462;268.00000000
670;"Grauwacke, Tonschiefer, Plattenkalk, Kieselkalk, Kieselschiefer, Alaunschiefer";609.00000000;609.0000000000000000;609.00000000
679;"Tonschiefer, Quarzit, Kieselschiefer, Sandstein, Kalkstein, basischer Tuff";49.000000000;134.5000000000000000;220.00000000
712;"Tonschiefer, Quarzit, Gerllquarzit";27.000000000;54.3333333333333333;121.00000000
715;"Phyllit";8.0000000000;111.5507246376811594;646.00000000
720;"Phyllit, Kalkphyllit, Quarzit, Grauwacke";33.000000000;347.5000000000000000;2322.0000000
721;"Glimmerschiefer";9.0000000000;103.2592592592592593;408.00000000
750;"Hornblendebndergneis";28.000000000;74.3333333333333333;100.00000000
760;"Glimmerschiefer";7.0000000000;120.7569444444444444;3043.0000000
761;"Paragneis";19.000000000;108.2696629213483146;629.00000000
766;"Marmor (Kalk-, Dolomit-, Kalksilikatfels-)";37.000000000;118.9230769230769231;272.00000000
770;"Paragneis";3.0000000000;101.0000000000000000;294.00000000
771;"Amphibolit";9.0000000000;75.7500000000000000;143.00000000
791;"Alkalibasalt, Basanit, Tephrit, Nephelinit, Tholeyitbasalt, Olivinbasalt, Andesit";25.000000000;117.2500000000000000;597.00000000
833;"Granit, Granodiorit";16.000000000;283.8800000000000000;976.00000000
834;"Granit";2.0000000000;188.3741935483870968;1174.0000000
838;"Diorit, Redwitzit";17.000000000;106.7058823529411765;363.00000000
845;"Orthogneis: granitisch, granodioritisch";25.000000000;205.3750000000000000;1059.0000000
858;"";16.000000000;80.8529411764705882;496.00000000
999;"";212.00000000;212.0000000000000000;212.00000000
